,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10,91124.5,91699.5,92826.5,93711.5,93611.5,93152.5,93266.5,93817.5,93405.5,93119.5,92689.5,93251.5,93904.5,93828.5,93042.5,93115.5,94203.5,96127.5,97777.5,98705.5,99335.5,99902.5,99805.5,99413.5,99237.5,99258.5,99199.5,98449.5,97364.5,96042.5,94915.5,94772.5,95222.5,95905.5,95402.5,93868.5,91346.5,88919.5,87253.5,87127.5,87774.5,89336.5,90451.5,90684.5,90114.5,89190.5,88063.5
11,94654.5,94211.5,94391.5,94117.5,93494.5,92567.5,93080.5,94017.5,95044.5,95421.5,95887.5,96502.5,97439.5,97428.5,97000.5,96615.5,97121.5,98018.5,99223.5,99415.5,99371.5,99126.5,98740.5,98550.5,98625.5,99123.5,99008.5,98356.5,97179.5,95998.5,94934.5,94165.5,94248.5,94168.5,93443.5,91657.5,89445.5,88128.5,87790.5,88544.5,88848.5,88850.5,88584.5,87964.5,87370.5,86931.5,85947.5
12,96220.5,96130.5,96579.5,96855.5,96207.5,95852.5,95819.5,96447.5,96824.5,96726.5,96729.5,97437.5,98107.5,98564.5,98137.5,97974.5,98008.5,98171.5,98560.5,98366.5,98264.5,98136.5,98095.5,97972.5,98114.5,98194.5,97673.5,97016.5,96327.5,96380.5,96138.5,95363.5,94701.5,93821.5,92492.5,90502.5,88659.5,87799.5,88643.5,89946.5,90599.5,89811.5,88575.5,87638.5,87245.5,87134.5,86786.5
13,93597.5,94445.5,95341.5,96094.5,96619.5,96931.5,97263.5,97518.5,97109.5,96287.5,95784.5,95817.5,96317.5,96704.5,96915.5,97099.5,97252.5,97280.5,96974.5,96614.5,96587.5,96774.5,96641.5,96402.5,96123.5,95637.5,94910.5,94498.5,94682.5,95753.5,95686.5,94855.5,93168.5,92054.5,90724.5,89196.5,88034.5,88126.5,89259.5,90229.5,90052.5,89205.5,88229.5,88145.5,88123.5,87998.5,87324.5
14,91099.5,91188.5,91039.5,91396.5,92823.5,94374.5,95550.5,95886.5,95292.5,94750.5,94307.5,94278.5,94736.5,95339.5,95692.5,95922.5,95932.5,95767.5,95484.5,95268.5,95027.5,95025.5,94594.5,94048.5,93656.5,93151.5,92774.5,92584.5,93332.5,93878.5,93690.5,92190.5,90655.5,89543.5,88816.5,88248.5,88295.5,88780.5,90030.5,89584.5,88034.5,86308.5,85605.5,86144.5,87634.5,87775.5,87578.5
15,90114.5,88402.5,87523.5,87875.5,89841.5,92310.5,93819.5,94357.5,93944.5,93664.5,93563.5,93925.5,94495.5,94875.5,94869.5,94221.5,94099.5,94133.5,94538.5,94537.5,94401.5,94156.5,93556.5,92868.5,92341.5,91887.5,91599.5,91504.5,91593.5,91333.5,90363.5,89030.5,88528.5,88512.5,88606.5,88718.5,89080.5,90071.5,90875.5,90275.5,87505.5,84858.5,82730.5,82977.5,84471.5,85894.5,86982.5
16,90033.5,88742.5,88055.5,88450.5,91435.5,93881.5,95474.5,95309.5,94612.5,94043.5,93998.5,94420.5,94768.5,94848.5,94006.5,93188.5,92853.5,93408.5,93932.5,94106.5,94035.5,93816.5,93238.5,92321.5,91056.5,89963.5,89391.5,89391.5,89295.5,88568.5,87386.5,86281.5,86862.5,87865.5,88791.5,88261.5,88209.5,88846.5,90329.5,90184.5,88562.5,85331.5,82398.5,81070.5,81130.5,82876.5,84010.5
17,89950.5,89893.5,90024.5,91292.5,93085.5,94853.5,95811.5,95907.5,95260.5,94307.5,93916.5,94037.5,94575.5,94584.5,94153.5,93216.5,92753.5,92879.5,92751.5,92333.5,91981.5,91633.5,91345.5,90253.5,88690.5,87205.5,86692.5,87220.5,88099.5,88338.5,86862.5,85868.5,85859.5,86893.5,87196.5,86388.5,85451.5,86226.5,87848.5,89215.5,88666.5,86153.5,83339.5,80822.5,79846.5,79861.5,80169.5
18,90166.5,90183.5,90582.5,91277.5,91807.5,92335.5,92879.5,93591.5,93370.5,92683.5,91689.5,91953.5,92702.5,93632.5,93366.5,92220.5,90968.5,90059.5,89477.5,88825.5,88192.5,87968.5,87980.5,87833.5,87322.5,86427.5,86243.5,86810.5,88123.5,88209.5,87427.5,85907.5,85710.5,85723.5,85601.5,84429.5,84292.5,85199.5,87355.5,88313.5,88053.5,86670.5,84613.5,82644.5,80871.5,79257.5,79141.5
19,89332.5,89038.5,89753.5,90554.5,90533.5,90159.5,90749.5,91696.5,91938.5,91025.5,90079.5,90219.5,91678.5,92742.5,92215.5,90523.5,88778.5,88014.5,88238.5,88594.5,88296.5,88056.5,88104.5,88951.5,89424.5,89335.5,88376.5,88196.5,88067.5,87923.5,86786.5,85706.5,85270.5,85152.5,84481.5,83245.5,82782.5,84810.5,87358.5,89005.5,89123.5,88420.5,87684.5,87043.5,85377.5,83946.5,83930.5
