,Date,Daily Mean PM2.5 Concentration,SITE_LATITUDE,SITE_LONGITUDE
15443,07/18/2021,3.8,45.496641,-122.602877
15799,07/18/2021,2.9,45.562500000943,-122.575278
16151,07/18/2021,5.5,45.652231,-118.823033
16515,07/18/2021,5.0,45.828968,-119.262991
16744,07/18/2021,7.1,45.2247483106115,-118.513961995977
16996,07/18/2021,33.6,45.300884,-117.812896
17334,07/18/2021,15.4,45.3235,-118.0778
17692,07/18/2021,57.5,45.426351,-117.296066
17905,07/18/2021,28.9,45.079864040123,-116.844808262337
18148,07/18/2021,3.1,45.602419,-121.203387
18335,07/18/2021,2.5,45.528501,-122.972398
18402,07/18/2021,3.3,45.528501,-122.972398
18615,07/18/2021,2.7,45.528501,-122.972398
18846,07/18/2021,3.5,45.3992,-122.7455
19091,07/18/2021,4.3,45.3992,-122.7455
19453,07/18/2021,2.5,45.470191,-122.816411
197,07/18/2021,6.0,47.12,-118.3819
540,07/18/2021,34.7,46.425416,-117.060445
873,07/18/2021,38.2,46.425416,-117.060445
1188,07/18/2021,4.8,46.21835,-119.204153
1551,07/18/2021,3.1,47.83861,-120.023076
1916,07/18/2021,3.5,47.598863,-120.664702
2241,07/18/2021,3.5,47.43061,-120.34195
2465,07/18/2021,1.1,48.29786,-124.62491
2704,07/18/2021,2.5,48.29786,-124.62491
3039,07/18/2021,3.1,48.3660580009365,-124.610045
3404,07/18/2021,2.6,48.115,-123.436434
3637,07/18/2021,1.3,48.0062954458339,-122.973952964298
3882,07/18/2021,3.4,45.8639,-122.410889
4239,07/18/2021,1.4,45.64336,-122.58737
4602,07/18/2021,11.6,46.318,-117.985
4967,07/18/2021,3.2,46.139444,-122.961944
5332,07/18/2021,5.0,46.5754,-119.0021
5647,07/18/2021,19.8,46.4744380009419,-117.614764
5977,07/18/2021,4.5,47.1303,-119.2737
6336,07/18/2021,3.7,47.2411530009402,-119.847824
7012,07/18/2021,3.4,46.97228,-123.83173
7370,07/18/2021,2.6,48.12919,-122.77897
7734,07/18/2021,3.3,47.49022,-121.77278
8096,07/18/2021,2.9,47.755,-122.2806
8454,07/18/2021,3.7,47.597222,-122.319722
8819,07/18/2021,2.7,47.6008630009392,-122.148397
9103,07/18/2021,4.2,47.2814,-122.2233
9513,07/18/2021,2.8,47.55975,-122.338265
9782,07/18/2021,3.9,47.4985350009395,-122.278385
10056,07/18/2021,5.0,47.4985350009395,-122.278385
10283,07/18/2021,2.6,47.568236,-122.308628
10529,07/18/2021,1.6,47.568236,-122.308628
10892,07/18/2021,5.6,47.53091,-122.3208
11252,07/18/2021,4.5,47.386111,-122.230278
11612,07/18/2021,3.5,47.592675,-122.627397
11976,07/18/2021,3.6,46.99364,-120.545
12321,07/18/2021,3.2,46.99364,-120.545
12546,07/18/2021,2.6,47.3998148287875,-121.427095574363
12661,07/18/2021,2.9,45.666204,-121.000708
12909,07/18/2021,3.2,46.66409,-122.96732
13115,07/18/2021,1.7,46.624183962,-121.388063592
13356,07/18/2021,3.4,47.21355,-123.10081
13721,07/18/2021,101.5,48.47724,-120.19057
13931,07/18/2021,8.6,48.3875311340144,-119.928671382476
14176,07/18/2021,7.5,48.39999,-119.51896
14540,07/18/2021,26.2,48.354124,-120.105116
14900,07/18/2021,7.8,48.181952,-117.053102
15257,07/18/2021,4.9,47.22634,-122.46256
15616,07/18/2021,3.2,47.22634,-122.46256
16414,07/18/2021,3.6,47.2656,-122.3858
16701,07/18/2021,2.9,46.75838,-122.12429
16862,07/18/2021,3.7,48.52059,-122.61428
17160,07/18/2021,3.1,48.4102,-122.3376
17525,07/18/2021,0.5,48.2469,-121.6031
17852,07/18/2021,2.6,48.065339,-122.285194
18171,07/18/2021,3.3,48.054315,-122.171529
18524,07/18/2021,12.2,47.663962,-117.257654
18972,07/18/2021,10.5,47.69978,-117.42635
19337,07/18/2021,5.5,47.88528,-117.98865
19695,07/18/2021,5.6,48.544448,-117.903425
20056,07/18/2021,6.2,48.544448,-117.903425
20394,07/18/2021,3.3,47.029396,-122.821548
20744,07/18/2021,7.9,46.05881,-118.35147
21081,07/18/2021,2.1,48.7600360009349,-122.456463
21275,07/18/2021,2.4,48.7314201159615,-121.065815446889
21515,07/18/2021,20.3,46.72447,-117.18014
21860,07/18/2021,11.5,46.8153,-117.8739
22225,07/18/2021,13.9,47.23136,-117.36856
22583,07/18/2021,4.9,46.319320471,-119.999677425
23044,07/18/2021,3.8,46.598056,-120.499167
23369,07/18/2021,1.7,46.38024,-120.33266
23665,07/18/2021,3.6,46.375430000942,-120.72932
